node,degree,degree_centrality,betweenness_centrality_sampled,pagerank,community
107,1045,0.258791480931154,0.48541649525022224,0.006936420955866117,1
1684,792,0.1961367013372957,0.3465870846178222,0.006367162138306824,0
1912,755,0.18697374938088163,0.22508432974968676,0.003876971600884498,3
3437,547,0.13546310054482416,0.222834464931653,0.0076145868447496,2
0,347,0.08593363051015354,0.15012154748254491,0.006289602618466542,4
2543,294,0.07280832095096582,0.006727725719370554,0.0006731141618825244,3
2347,291,0.07206537890044576,0.0028746831820045406,0.0006288535706462458,3
1888,254,0.0629024269440317,0.00014086057558491543,0.0007117172673725062,0
1800,245,0.06067360079247152,0.0002171073510979024,0.0006984646532952213,0
1663,235,0.058197127290737984,0.0011786170443154078,0.0006645344956311117,0
1352,234,0.05794947994056463,0.0011982197913621064,0.0006690772431300504,0
2266,234,0.05794947994056463,0.0014594051271003673,0.0004547583504373501,6
483,231,0.057206537890044575,0.010672875900115187,0.0012974283300616095,1
348,229,0.05671124318969787,0.03361709842805733,0.002348096972780577,1
1730,226,0.055968301139177806,0.00015309602250353075,0.0006613437938392171,0
1985,224,0.0554730064388311,0.00014158798582247466,0.00043607477073434386,6
1941,223,0.05522535908865775,0.0015312781069564173,0.0005334723030162657,3
2233,222,0.0549777117384844,6.378187817727498e-05,0.00042072385983438817,6
2142,221,0.054730064388311045,4.600290003592765e-05,0.0004277102806485088,6
1431,220,0.05448241703813769,0.0002573660256746841,0.0006584499181463515,0
1199,217,0.05373947498761763,5.983224336006599e-05,0.0006046332762404054,0
1584,211,0.05225359088657751,0.000249233078453929,0.0006345434577260155,0
2206,210,0.052005943536404156,1.1227091772378794e-05,0.0003804638173846475,6
1768,209,0.051758296186230804,0.0001058034619080516,0.0006160685975883845,0
2410,207,0.0512630014858841,2.050142290049828e-05,0.000382376860961445,6
2611,207,0.0512630014858841,2.658526610764885e-05,0.00039311589893981,6
2229,207,0.0512630014858841,3.503574042456237e-05,0.0003878705594247028,6
2218,205,0.050767706785537395,6.8904701404131564e-06,0.00037462167829178423,6
2047,205,0.050767706785537395,0.0020447209659624575,0.0008410291545974014,3
1589,205,0.050767706785537395,6.212387612717819e-05,0.0005697724164080938,0
1086,205,0.050767706785537395,0.0008854281738232898,0.000658630841076691,0
2078,204,0.05052005943536404,6.230117348741697e-06,0.0003707676040579979,6
2123,203,0.05027241208519068,1.0209180026761919e-05,0.00036831950905056476,6
1993,203,0.05027241208519068,7.604657628892025e-06,0.00037441550677684343,6
2464,202,0.05002476473501733,4.1898119047828135e-06,0.000363879471371796,6
1746,202,0.05002476473501733,6.516846354374313e-05,0.0005642596543666145,0
2560,201,0.04977711738484398,4.7490257630634505e-05,0.00037915784421932116,6
1827,201,0.04977711738484398,0.00012071688349173089,0.0005855646489119565,0
2240,201,0.04977711738484398,1.106711635726911e-05,0.0003657299617330148,6
2507,201,0.04977711738484398,6.446663302137425e-06,0.0003668342796789419,6
2244,200,0.04952947003467063,4.2887667564009986e-06,0.0003616627255178563,6
1983,199,0.049281822684497274,2.768822821154375e-05,0.00037521039822091464,6
2309,199,0.049281822684497274,2.203306675908372e-05,0.00036985088134901706,6
2340,198,0.04903417533432392,9.897497334196094e-06,0.00035839220025040515,6
1126,198,0.04903417533432392,0.0008579432857832779,0.0005661927301412862,0
2602,198,0.04903417533432392,2.3195729662354308e-05,0.00036418987435830007,6
2131,198,0.04903417533432392,1.3356432802135372e-05,0.0003614636003279411,6
2088,198,0.04903417533432392,5.436361965416436e-06,0.00036211840508986647,6
2590,197,0.04878652798415057,1.0067004120053532e-05,0.0003579062889407104,6
2324,197,0.04878652798415057,3.616969309729559e-05,0.00036874752684522944,6
2369,197,0.04878652798415057,1.4845730310961676e-05,0.00035775255363652375,6
2542,196,0.04853888063397721,0.0012238897320301463,0.0003699986694375626,6
2604,196,0.04853888063397721,7.1520743938972555e-06,0.0003613823406295114,6
2607,195,0.04829123328380386,1.43428966628483e-05,0.0003539384833033085,6
1804,195,0.04829123328380386,6.137974663517657e-05,0.0005445079243357052,0
2220,195,0.04829123328380386,8.857841738102258e-06,0.0003518649851524956,6
2073,195,0.04829123328380386,4.461022687412869e-06,0.0003540244248380615,6
2188,194,0.048043585933630506,4.594267734935797e-06,0.00035279715146075997,6
2059,193,0.047795938583457154,3.5048041604569477e-06,0.00034743882022949044,6
1390,193,0.047795938583457154,6.78495521883423e-05,0.0005404067445837945,0
2172,193,0.047795938583457154,4.608639063174191e-06,0.00035315943961953487,6
2150,192,0.0475482912332838,1.6940721612111496e-05,0.0003530717672040216,6
1943,192,0.0475482912332838,5.142852091253041e-06,0.00035203782063729014,6
2526,191,0.04730064388311045,0.00012931870964540473,0.0003782437940832843,6
1946,191,0.04730064388311045,3.4681476157982857e-06,0.00034640081000335016,6
2428,191,0.04730064388311045,1.1571464581355518e-05,0.00035326153161735084,6
1833,191,0.04730064388311045,3.839864404717995e-05,0.0005311171738532418,0
1612,190,0.0470529965329371,8.796198873776673e-05,0.0005331174083343785,0
2331,190,0.0470529965329371,8.781718100651887e-06,0.0003466888869871093,6
2201,190,0.0470529965329371,3.6588128709731256e-06,0.0003435892213273717,6
1377,190,0.0470529965329371,8.322835139094076e-05,0.000551755504577734,0
1917,190,0.0470529965329371,8.599790132104762e-06,0.0003454684402758519,6
2601,190,0.0470529965329371,4.076199941580316e-06,0.0003450685045964297,6
2090,189,0.046805349182763745,3.4878316679984952e-06,0.00034194315276041027,6
1621,189,0.046805349182763745,0.0008605771078396257,0.0005402959111513511,0
1938,189,0.046805349182763745,3.776244856450442e-06,0.0003435508818134158,6
2624,188,0.04655770183259039,1.2404874294213414e-05,0.00034827212305302,6
2384,188,0.04655770183259039,0.00046426687244199974,0.000578673115227217,3
2564,188,0.04655770183259039,9.283552193925173e-06,0.00034392183809086246,6
2118,188,0.04655770183259039,4.152220302449317e-06,0.0003409617363729229,6
2586,187,0.04631005448241703,3.1595926439070066e-06,0.0003374884383724245,6
1714,187,0.04631005448241703,3.7745143669846783e-05,0.0005151324228978032,0
2030,187,0.04631005448241703,3.910719432912959e-06,0.00033959474144092333,6
1962,187,0.04631005448241703,8.706479611791482e-06,0.0003398350741887333,6
2064,186,0.04606240713224368,8.171371276411935e-06,0.0003399538452904905,6
2625,186,0.04606240713224368,3.4660084820294657e-06,0.0003367962588455916,6
2184,186,0.04606240713224368,8.64418191802369e-06,0.0003414838331727234,6
